Period,Inflation (Can),Inflation (US),GDP (B$),Empl.Per. (M),CPI (Can),CPI (US),CC (Can),PC Util (Can),PC Util (US),Bus Conf (Can),Bus Conf (US),TSX,Retail YoY%,M3 T$,Gov Sp M$,EI (000s),Disp.Inc. M$,Consum.Cr. M$,Exports M$,Tourist Arr. (Persons)
2013-01-11,0.7258064516129032,1.729032258064516,1731.2695483870968,17.522774193548386,121.7516129032258,232.0848064516129,54.41612903225806,80.49677419354839,76.79677419354839,-0.9970967741935484,3.2541935483870965,12626.516129032258,1.6903225806451612,1.6063085806451614,127108.51612903226,537243.5483870967,343778.3870967742,607032.7419354839,38883.48709677419,1217785.8387096773
2013-01-12,0.7483870967741936,1.7419354838709677,1731.4379032258064,17.524251612903225,121.79677419354839,232.1253870967742,54.46774193548387,80.50645161290323,76.80645161290323,-1.0058064516129033,3.2516129032258063,12631.967741935483,1.7193548387096773,1.6067818387096775,127103.96774193548,537062.9032258064,343856.22580645164,607169.5161290322,38912.42580645161,1218026.322580645
2013-01-13,0.7709677419354839,1.7548387096774194,1731.6062580645162,17.525729032258063,121.84193548387097,232.1659677419355,54.519354838709674,80.51612903225806,76.81612903225806,-1.0145161290322582,3.249032258064516,12637.41935483871,1.7483870967741935,1.6072550967741936,127099.41935483871,536882.2580645161,343934.06451612903,607306.2903225806,38941.36451612903,1218266.8064516129
2013-01-14,0.7935483870967741,1.767741935483871,1731.774612903226,17.5272064516129,121.88709677419355,232.20654838709677,54.57096774193548,80.52580645161291,76.8258064516129,-1.0232258064516129,3.246451612903226,12642.870967741936,1.7774193548387096,1.6077283548387098,127094.87096774194,536701.6129032258,344011.9032258064,607443.0645161291,38970.30322580645,1218507.2903225806
2013-01-15,0.8161290322580645,1.7806451612903227,1731.9429677419355,17.52868387096774,121.93225806451613,232.24712903225807,54.62258064516129,80.53548387096775,76.83548387096775,-1.0319354838709678,3.2438709677419353,12648.322580645161,1.8064516129032258,1.608201612903226,127090.32258064517,536520.9677419355,344089.7419354839,607579.8387096775,38999.24193548387,1218747.7741935484
2013-01-16,0.8387096774193548,1.793548387096774,1732.1113225806453,17.530161290322578,121.97741935483872,232.28770967741937,54.674193548387095,80.54516129032258,76.84516129032258,-1.0406451612903225,3.241290322580645,12653.774193548386,1.835483870967742,1.608674870967742,127085.7741935484,536340.3225806452,344167.5806451613,607716.6129032258,39028.18064516129,1218988.2580645161
2013-01-17,0.8612903225806452,1.8064516129032258,1732.2796774193548,17.53163870967742,122.02258064516128,232.32829032258064,54.725806451612904,80.55483870967743,76.85483870967742,-1.0493548387096774,3.238709677419355,12659.225806451614,1.8645161290322578,1.609148129032258,127081.2258064516,536159.6774193548,344245.4193548387,607853.3870967742,39057.11935483871,1219228.7419354839
2013-01-18,0.8838709677419354,1.8193548387096774,1732.4480322580646,17.53311612903226,122.06774193548387,232.36887096774194,54.777419354838706,80.56451612903226,76.86451612903225,-1.0580645161290323,3.2361290322580647,12664.677419354839,1.8935483870967742,1.6096213870967742,127076.67741935483,535979.0322580645,344323.2580645161,607990.1612903225,39086.058064516124,1219469.2258064516
2013-01-19,0.9064516129032258,1.832258064516129,1732.6163870967741,17.534593548387097,122.11290322580645,232.40945161290324,54.829032258064515,80.5741935483871,76.8741935483871,-1.0667741935483872,3.233548387096774,12670.129032258064,1.9225806451612901,1.6100946451612903,127072.12903225806,535798.3870967742,344401.0967741936,608126.9354838709,39114.99677419355,1219709.7096774194
2013-01-20,0.9290322580645161,1.8451612903225807,1732.784741935484,17.536070967741935,122.15806451612903,232.4500322580645,54.880645161290325,80.58387096774194,76.88387096774194,-1.075483870967742,3.230967741935484,12675.58064516129,1.9516129032258063,1.6105679032258065,127067.58064516129,535617.7419354839,344478.93548387097,608263.7096774194,39143.93548387096,1219950.1935483871
